,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,eir_score,shape_score,intensity_score,prevalence_score,param_set,round
52,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,12.0,,,0.0,1.1109204823475638,1.5734004073497525,0.1300304775652,13.0,2
53,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,13.0,,,0.0,1.1297233453567288,1.3899424804758402,0.18982667562565,14.0,2
54,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,14.0,,,0.0,1.0957549272563445,1.6179177103108882,0.1248794430361,15.0,2
55,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,15.0,,,0.0,0.9258178228696464,1.5816352867894972,0.0944709680113,16.0,2
56,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,0.0,,,,0.0,1.161323761998818,1.5633072395932686,0.114528151668,1.0,3
57,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,1.0,,,,0.0,0.9940814170815642,1.8066065940635592,0.0732536563877,2.0,3
58,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,58.0,2.0,,,,0.0,1.1536630393504463,1.5235323685214643,0.1761586448294,3.0,3
59,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,3.0,,,,0.0,1.002181585226273,1.5422961015907195,0.0920221091059,4.0,3
60,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,60.0,4.0,,,,0.0,1.2325621315832178,1.6719805948232376,0.07422831041035,5.0,3
61,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,5.0,,,,0.0,1.1234347107958658,2.030544882888022,0.0564646910916999,6.0,3
62,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,6.0,,,,0.0,1.1151840275165272,1.4819885057828883,0.1611889353803,7.0,3
63,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,7.0,,,,0.0,1.090327237973097,1.4015884445609847,0.19201055233005,8.0,3
64,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,8.0,,,,0.0,1.1826788475384684,1.5551928160723896,0.154428235009,9.0,3
65,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0,9.0,,,,0.0,1.0467103728299612,1.7215803379481072,0.0856022647366,10.0,3
66,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,66.0,10.0,,,,0.0,1.0207417354534325,1.8014181915400047,0.078476941626,11.0,3
67,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,67.0,11.0,,,,0.0,1.2338613950897286,1.607420850798131,0.08800234361235,12.0,3
68,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,68.0,12.0,,,,0.0,1.1066792706261954,1.4810196298785976,0.16606740661065,13.0,3
69,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,69.0,13.0,,,,0.0,1.062157446094012,1.4830158309414117,0.1248140896377,14.0,3
70,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,14.0,,,,0.0,1.1443767606522184,1.386682705337318,0.1999585799174,15.0,3
71,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,15.0,,,,0.0,1.066971887433842,1.5325527313394194,0.1461862227655,16.0,3
72,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,72.0,0.0,,,,,0.0,1.15990307717441,1.3455184561109788,0.2013797818445999,1.0,4
73,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,73.0,1.0,,,,,0.0,1.170388243621242,1.533077975547017,0.1331366468877,2.0,4
74,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,2.0,,,,,0.0,1.3086132282151492,1.4318068434438913,0.1749488404447,3.0,4
75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,3.0,,,,,0.0,1.1992631468539383,1.461639153227185,0.1968826730963,4.0,4
76,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,76.0,4.0,,,,,0.0,0.9908249902933052,1.5614483498651068,0.11727431043675,5.0,4
77,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,77.0,5.0,,,,,0.0,1.0940695880949194,1.6482301853029335,0.0754194211355,6.0,4
78,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,78.0,6.0,,,,,10.0,1.1157505145114257,1.293027982841796,0.2613111064682499,7.0,4
79,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,79.0,7.0,,,,,0.0,1.023038133593284,1.6749810989149356,0.12635242322945,8.0,4
80,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,8.0,,,,,0.0,1.1121742498254577,1.5601825040307309,0.12489742461355,9.0,4
81,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,81.0,9.0,,,,,0.0,1.2506293941241011,1.447158387618883,0.1757181341490999,10.0,4
82,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,10.0,,,,,0.0,1.2877056124120725,1.7670075593503278,0.07211567030045,11.0,4
83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0,11.0,,,,,0.0,1.0392746208646346,1.5615651521875829,0.1104585225689,12.0,4
84,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,84.0,12.0,,,,,0.0,1.1978910510865022,1.3659000450125869,0.1678656126693,13.0,4
85,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0,13.0,,,,,0.0,1.0211623385529538,1.5363997690247306,0.11823802476455,14.0,4
86,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0,14.0,,,,,0.0,1.4444483013278813,1.3749612047792283,0.1884760885199,15.0,4
